"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"TECHIN","Techindia Nirman Limited","7(2)","Nath Securities Limited","Promoter Group","Equity Shares","232929","1.63",,"232929","2329290","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192931_1600095_13012026055142_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Paresh Farms Private Limited","Promoter Group","Equity Shares","986","0.01",,"986","9860","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192931_1600095_13012026055142_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Prabha Farms Private Limited","Promoter Group","Equity Shares","144571","1.01",,"144571","1445710","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192931_1600095_13012026055142_WEB.xml"
"AGRITECH","Agri-Tech (India) Limited","7(2)","Tapovan Paper and Board Mills Limited","Promoter Group","Equity Shares","Nil","0",,"130512","1305120","Buy","Equity Shares","130512","2.21","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192929_1600085_13012026054822_WEB.xml"
"AGRITECH","Agri-Tech (India) Limited","7(2)","Prabha Farms Private Limited","Promoter Group","Equity Shares","49852","0.84",,"49852","498520","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192929_1600085_13012026054822_WEB.xml"
"AGRITECH","Agri-Tech (India) Limited","7(2)","Paresh Farms Private Limited","Promoter Group","Equity Shares","340","0.01",,"340","3400","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192929_1600085_13012026054822_WEB.xml"
"AGRITECH","Agri-Tech (India) Limited","7(2)","Nath Securities Limited","Promoter Group","Equity Shares","80320","1.35",,"80320","803200","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192929_1600085_13012026054822_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(3)","IDBI Trusteeship Services Limited","-","Equity Shares","4618262","0.98",,"2000","331840","Sell","Equity Shares","4616262","0.98","12-Jan-2026","12-Jan-2026","13-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","13-Jan-2026 17:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192928_1600080_13012026054748_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","919050","0.14",,"966","1932","Sell","Equity Shares","918084","0.14","12-Jan-2026","12-Jan-2026","12-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","13-Jan-2026 17:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192925_1600051_13012026053854_WEB.xml"
"KCEIL","Kay Cee Energy & Infra Limited","7(2)","LOKENDRA JAIN","Promoters","Equity Shares","7578000","61.99",,"35000","4643100","Buy","Equity Shares","7613000","62.28","13-Jan-2026","13-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192923_1600000_13012026052206_WEB.xml"
"GRCL","Gayatri Rubbers And Chemicals Limited","7(2)","SHILP CHOTAI","Promoters","Equity Shares","1031000","17.97",,"3250","1121185","Buy","Equity Shares","1034250","18.02","12-Jan-2026","12-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 17:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192921_1599971_13012026051411_WEB.xml"
"RILINFRA","Rachana Infrastructure Limited","7(2)","GIRISHKUMAR OCHCHHAVLAL RAVAL","Promoters","Equity Shares","5953581","32",,"2500","90400","Buy","Equity Shares","5956081","32.01","12-Jan-2026","12-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 17:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192919_1599943_13012026050400_WEB.xml"
"SHRIKANHA","Shri Kanha Stainless Limited","7(2)","Shashank Agrawal","Promoters","Equity Shares","2507600","16.09",,"20800","606767","Buy","Equity Shares","2528400","16.22","12-Jan-2026","12-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192916_1599906_13012026044954_WEB.xml"
"SANGANI","Sangani Hospitals Limited","7(2)","DHANESHA ADVISORY LLP","Promoter Group","Equity Shares","102000","0.74",,"79500","4082325","Buy","Equity Shares","181500","1.35","08-Jan-2026","08-Jan-2026","09-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 16:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192913_1599865_13012026043410_WEB.xml"
"DHARARAIL","Dhara Rail Projects Limited","7(2)","Medha Family Office LLP","Promoter Group","Equity Shares","131000","0.86",,"2000","245898","Buy","Equity Shares","133000","0.88","12-Jan-2026","12-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 13:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192911_1599523_13012026011832_WEB.xml"
"INOXGREEN","Inox Green Energy Services Limited","7(2)","Seethappa Karunakaran Mathusudhana","Employees/Designated Employees","Equity Shares","Nil","0",,"102500","8917500","Buy","Equity Shares","102500","0.03","14-Nov-2025","14-Nov-2025","18-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 19:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192909_1599172_12012026073406_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Tushar Ramesh Mohata","Promoters","Equity Shares","4023050","17.6",,"10400","920008","Buy","Equity Shares","4033450","17.64","09-Jan-2026","12-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192907_1599085_12012026063848_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Nilesh Suresh Mohata","Promoters","Equity Shares","3639670","15.92",,"25600","2192040","Buy","Equity Shares","3665270","16.03","09-Jan-2026","12-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192907_1599085_12012026063848_WEB.xml"
"PURVFLEXI","Purv Flexipack Limited","7(2)","RAJEEV GOENKA","Promoters","Equity Shares","2586570","12.32",,"5600","394800","Buy","Equity Shares","2592170","12.35","08-Jan-2026","09-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192905_1599064_12012026063130_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Vijayasimha Alilughatta","Employees/Designated Employees","Equity Shares","9351","0",,"21381","15167681","Buy","Equity Shares","30732","0.01","09-Jan-2026","09-Jan-2026","11-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192903_1598916_12012026052110_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Ashish Sharma","-","Equity Shares","100","0",,"2000","40000","Buy","Equity Shares","2100","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Kanchan Nair","-","Equity Shares","Nil","0",,"5000","100000","Buy","Equity Shares","5000","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Wendy Gomez","-","Equity Shares","Nil","0",,"3750","75000","Buy","Equity Shares","3750","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Jeannette Lara","-","Equity Shares","Nil","0",,"2500","50000","Buy","Equity Shares","2500","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Ravindra Deshpande","-","Equity Shares","2007","0",,"2000","40000","Buy","Equity Shares","4007","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Derek B Jones","-","Equity Shares","Nil","0",,"5200","104000","Buy","Equity Shares","5200","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Vishal Chopra","-","Equity Shares","3200","0",,"1875","37500","Buy","Equity Shares","5075","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Mohinder Chandna","-","Equity Shares","53000","0.09",,"5000","390000","Buy","Equity Shares","58000","0.1","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Paresh Shah","Key Managerial Personnel","Equity Shares","38500","0.06",,"6000","468000","Buy","Equity Shares","44500","0.07","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Gopal Tiwari","Key Managerial Personnel","Equity Shares","9951","0.01",,"25000","1950000","Buy","Equity Shares","34951","0.06","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Amit Vora","-","Equity Shares","371","0",,"22000","1716000","Buy","Equity Shares","22371","0.03","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Jayesh Sonar","-","Equity Shares","Nil","0",,"5000","100000","Buy","Equity Shares","5000","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Dayanidhi Padhy","-","Equity Shares","500","0",,"1000","20000","Buy","Equity Shares","1500","0","07-Nov-2025","07-Nov-2025","07-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192901_1598842_12012026044922_WEB.xml"
"SWARAJENG","Swaraj Engines Limited","7(2)","Devjit Sarkar","Director","Equity Shares","Nil","0",,"361","1338010","Buy","Equity Shares","361","0","07-Jan-2026","07-Jan-2026","09-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","12-Jan-2026 16:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192899_1598801_12012026042329_WEB.xml"
"HOMESFY","Homesfy Realty Limited","7(2)","Ashish Kukreja","Promoters","Equity Shares","1541712","47.79",,"600","97200","Buy","Equity Shares","1542312","47.81","09-Jan-2026","12-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 15:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192897_1598767_12012026035547_WEB.xml"
"REMUS","Remus Pharmaceuticals Limited","7(2)","Alkaben Dipakkumar Shah","Promoter Group","Equity Shares","Nil","0",,"2600","1842490","Buy","Equity Shares","2600","0.02","02-Jan-2026","02-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 15:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192895_1598674_12012026031534_WEB.xml"
"DUGLOBAL","DUDIGITAL GLOBAL LIMITED","7(2)","Shivaz Rai","Promoter Group","Equity Shares","12193400","16.97",,"20000","639875","Buy","Equity Shares","12213400","16.99","05-Jan-2026","11-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 15:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192893_1598645_12012026030106_WEB.xml"
"DHARARAIL","Dhara Rail Projects Limited","7(2)","Medha Family Office LLP","Promoter Group","Equity Shares","119000","0.78",,"12000","1491996","Buy","Equity Shares","131000","0.86","09-Jan-2026","09-Jan-2026","12-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jan-2026 12:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192890_1598500_12012026125341_WEB.xml"
"SHRIKANHA","Shri Kanha Stainless Limited","7(2)","Shashank Agrawal","Promoters","Equity Shares","2498000","16.03",,"9600","261782","Buy","Equity Shares","2507600","16.09","09-Jan-2026","09-Jan-2026","10-Jan-2026","Market Purchase","-","-","0","0","0","0","-","-","10-Jan-2026 17:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192887_1598272_10012026055918_WEB.xml"
"RILINFRA","Rachana Infrastructure Limited","7(2)","GIRISHKUMAR OCHCHHAVLAL RAVAL","Promoters","Equity Shares","5953081","32",,"500","18050","Buy","Equity Shares","5953581","32","09-Jan-2026","09-Jan-2026","10-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jan-2026 17:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192885_1598253_10012026053622_WEB.xml"
"SHRIKANHA","Shri Kanha Stainless Limited","7(2)","Shashank Agrawal","Promoters","Equity Shares","2467600","15.84",,"30400","754274","Buy","Equity Shares","2498000","16.03","07-Jan-2026","07-Jan-2026","08-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jan-2026 14:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192883_1598164_10012026024912_WEB.xml"
"SHRIKANHA","Shri Kanha Stainless Limited","7(2)","Shashank Agrawal","Promoters","Equity Shares","2398800","15.39",,"68800","1696996","Buy","Equity Shares","2467600","15.84","06-Jan-2026","06-Jan-2026","07-Jan-2026","Market Purchase","-","-","0","0","0","0","-","-","10-Jan-2026 13:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192881_1598136_10012026014535_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Poornima Dileep Choksi","Immediate relative","Equity Shares","1464","0",,"1064","1678406","Pledge Revoke","Equity Shares","1464","0","05-Jan-2026","05-Jan-2026","07-Jan-2026","Revokation of Pledge","-","-","0","0","0","0","NA","-","09-Jan-2026 20:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192878_1597950_09012026081520_WEB.xml"
"ALUWIND","ALUWIND INFRA-TECH LIMITED","7(2)","Mangla Murli Kabra","Promoter Group","Equity Shares","18000","0.07",,"3000","203775","Buy","Equity Shares","21000","0.08","06-Jan-2026","07-Jan-2026","07-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","09-Jan-2026 18:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192876_1597892_09012026065833_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","Sonata Software Limited Employee Welfare Trust","Other","Equity Shares","3140052","1.12",,"99843","35994139","Buy","Equity Shares","3239895","1.16","06-Jan-2026","07-Jan-2026","08-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","09-Jan-2026 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192874_1597835_09012026062748_WEB.xml"
"SANGANI","Sangani Hospitals Limited","7(2)","KAMALKUMAR NATAVARLAL SANGANI","Promoters","Equity Shares","3311663","24.04",,"40500","1974375","Buy","Equity Shares","3352163","24.33","09-Jan-2026","09-Jan-2026","09-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","09-Jan-2026 18:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192873_1597823_09012026062245_WEB.xml"
"SHEEL","Sheel Biotech Limited","7(2)","Satya Narayan Chandak","Promoters","Equity Shares","1509550","7.42",,"6000","432900","Buy","Equity Shares","1515550","7.45","08-Jan-2026","08-Jan-2026","08-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","09-Jan-2026 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192872_1597786_09012026060811_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","Souvik Shyam","-","Equity Shares","20000","0.01",,"10000","16495614","Sell","Equity Shares","10000","0.01","31-Dec-2025","31-Dec-2025","09-Jan-2026","Market Sale","-","-","0","0","0","0","NSE","-","09-Jan-2026 17:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192868_1597732_09012026054715_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","Souvik Shyam","-","Equity Shares","25200","0.01",,"5200","8710123","Sell","Equity Shares","20000","0.01","30-Dec-2025","30-Dec-2025","08-Jan-2026","Market Sale","-","-","0","0","0","0","NSE","-","09-Jan-2026 17:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192868_1597732_09012026054715_WEB.xml"
"NEWJAISA","Newjaisa Technologies Limited","7(2)","Mukunda Raghavendra","Promoters","Equity Shares","751562","2.11",,"45000","995048","Sell","Equity Shares","706562","1.98","08-Jan-2026","08-Jan-2026","08-Jan-2026","Market Sale","-","-","0","0","0","0","NSE","-","09-Jan-2026 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192865_1597710_09012026053509_WEB.xml"
"NEWJAISA","Newjaisa Technologies Limited","7(2)","Mukunda Raghavendra","Promoters","Equity Shares","795062","2.23",,"43500","1054375","Sell","Equity Shares","751562","2.11","07-Jan-2026","07-Jan-2026","07-Jan-2026","Market Sale","-","-","0","0","0","0","NSE","-","09-Jan-2026 17:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192863_1597674_09012026052504_WEB.xml"
"MAHLOG","Mahindra Logistics Limited","7(2)","Rajesh Shetty","Employees/Designated Employees","Equity Shares","28647","0.03",,"6243","62430","Buy","Equity Shares","34890","0.04","07-Jan-2026","07-Jan-2026","08-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","09-Jan-2026 15:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192859_1597484_09012026034844_WEB.xml"
