Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
539524,Dr. Lal PathLabs Ltd,Prashant Kishore,Designated Person,Acquisition,ESOP,Equity Shares,872,4360.00,3928,0.00,4800,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
543593,Dhampur Bio Organics Ltd,DBO Employee Welfare Trust,Trust,Acquisition,Market Purchase,Equity Shares,10000,1147931.00,639383,0.96,649383,0.98,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
543593,Dhampur Bio Organics Ltd,DBO Employee Welfare Trust,Trust,Acquisition,Market Purchase,Equity Shares,10000,1135197.00,649383,0.98,659383,0.99,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532100,Indo City Infotech Ltd-$,Aneel Jain,Promoter & Director,Acquisition,Market Purchase,Equity Shares,5000,79057.00,2070000,19.90,2075000,19.95,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
542772,360 ONE WAM LTD,PRIYA PRADIP BISWAS,Designated Person,Disposal,Market Sale,Equity Shares,1300,1495960.00,45020,0.00,43720,0.00,19 Jun 2026,22 Jun 2026,22 Jun 2026,NSE
523850,Axtel Industries Ltd,MEENA PATHAK,Directors Immediate Relative,Disposal,Market Sale,Equity Shares,18100,8154231.00,1062710,6.58,1044610,6.47,19 Jun 2026,19 Jun 2026,20 Jun 2026,BSE
544726,Kotyark Industries Ltd,BHAVINIBEN GAURANG SHAH,Promoter Group,Disposal,Market Sale,Equity Shares,9500,3800000.00,595120,5.79,585620,5.70,18 Jun 2026,18 Jun 2026,20 Jun 2026,NSE
544726,Kotyark Industries Ltd,BHAVINIBEN GAURANG SHAH,Promoter Group,Disposal,Market Sale,Equity Shares,23051,9091314.00,585620,5.70,562569,5.47,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
542123,The Phosphate Company Ltd,DEVENDRA FINVEST & HOLDING PVT. LTD.,Promoter Group,Disposal,Off Market,Equity Shares,28000,4347000.00,34730,0.96,6730,0.19,22 Jun 2026,22 Jun 2026,23 Jun 2026,NA
542123,The Phosphate Company Ltd,RAMESH KUMAR BANGUR,Promoter Group,Acquisition,Off Market,Equity Shares,28000,4347000.00,90990,2.52,118990,3.30,22 Jun 2026,22 Jun 2026,23 Jun 2026,NA
532443,Cera Sanitaryware Ltd,Cera Sanitaryware Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,707,4389763.00,4576,0.04,3869,0.03,18 Jun 2026,18 Jun 2026,22 Jun 2026,NSE
544578,Rubicon Research Ltd,DINESH BHASKAR RAJADHYAX,Employee,Disposal,Market Sale,Equity Shares,2282,1363.00,32282,0.02,30000,0.02,17 Jun 2026,17 Jun 2026,19 Jun 2026,NSE
539598,AMPL Capital Ltd,Mohit K Chheda,Director,Disposal,Market Sale,Equity Shares,1187935,350440826.00,1187935,1.93,0,0.00,19 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
539598,AMPL Capital Ltd,Dilip Nanji Chheda,Directors Immediate Relative,Disposal,Market Sale,Equity Shares,105648,3012024.00,2513985,4.09,2408337,3.91,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
539598,AMPL Capital Ltd,"Laxmi Trading  & investment partnership firm (Partner : Mohit K Chheda, Dilip Nanji Chheda and Nayna Dilip Chheda)",Other,Disposal,Market Sale,Equity Shares,616417,18184302.00,616417,1.00,0,0.00,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
543377,Adishakti Loha and Ispat Ltd,PAWAN KUMAR MITTAL,Promoter,Disposal,Market Sale,Equity Shares,20000,293000.00,392525,3.12,372525,2.97,19 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
543377,Adishakti Loha and Ispat Ltd,PAWAN KUMAR MITTAL,Promoter,Disposal,Market Sale,Equity Shares,200000,2910000.00,372525,2.97,172525,1.37,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
517372,Gujarat Intrux Ltd-$,Jignesh Bhupatlal Dhorda,Promoter Group,Disposal,Market Sale,Equity Shares,1002,433293.00,25022,0.73,24020,0.70,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
532354,Virgo Global Ltd,Shri Nakoda Logistics Private Limited,Promoter,Disposal,Market Sale,Equity Shares,1115797,7844053.00,3254150,30.98,2138353,20.36,17 Jun 2026,17 Jun 2026,18 Jun 2026,BSE
530499,AK Capital Services Ltd,A. K. Mittal,Promoter & Director,Acquisition,Market Purchase,Equity Shares,10,17350.00,1169121,17.71,1169131,17.71,18 Jun 2026,18 Jun 2026,22 Jun 2026,BSE
532683,AIA Engineering Ltd,S. N. Jetheliya,KMP,Disposal,Market Sale,Equity Shares,50,233000.00,5600,0.01,5550,0.01,19 Jun 2026,19 Jun 2026,23 Jun 2026,NSE
532683,AIA Engineering Ltd,S. N. Jetheliya,KMP,Disposal,Market Sale,Equity Shares,100,477000.00,5550,0.01,5450,0.01,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
517500,Roto Pumps Ltd,Shalini Gupta,Promoter Group,Disposal,Market Sale,Equity Shares,1000,65240.00,627043,0.33,626043,0.33,18 Jun 2026,19 Jun 2026,20 Jun 2026,NSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,80273,10671493.00,522826697,50.36,522906970,50.37,18 Jun 2026,18 Jun 2026,19 Jun 2026,NSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,65000,8871850.00,522906970,50.37,522971970,50.37,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
540575,Star Cement Ltd,MAHABIR PRASAD AGARWAL FAMILY TRUST,Trust,Acquisition,Market Purchase,Equity Shares,16381,3491374.00,18374214,4.55,18390595,4.55,19 Jun 2026,19 Jun 2026,20 Jun 2026,NSE
540575,Star Cement Ltd,SUMITRA DEVI AGARWAL FAMILY TRUST,Trust,Acquisition,Market Purchase,Equity Shares,6805,1452853.00,18390409,4.55,18397214,4.55,19 Jun 2026,19 Jun 2026,20 Jun 2026,NSE
514030,Deepak Spinners Ltd-$,NANDINI DAGA,Promoter Group,Acquisition,Market Purchase,Equity Shares,15350,1777595.00,299509,4.17,314859,4.38,09 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,80273,10671493.00,522826697,50.36,522906970,50.37,18 Jun 2026,18 Jun 2026,19 Jun 2026,NSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,65000,8871850.00,522906970,50.37,522971970,50.37,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
544137,Indus Infra Trust,Aadharshila Infratech Private Limited,Other,Acquisition,Preferential Offer,Any other instrument,25210084,2999999996.00,66450000,15.00,91660084,15.00,16 Jun 2026,16 Jun 2026,18 Jun 2026,NA
