Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
533098,NHPC Ltd,Abhishek Kumar,Immediate Relative,Equity Shares,6815,0.00,Equity Shares,3000,235260.00,Disposal,Equity,3815,0.00,23 Dec 2025,23 Dec 2025,14 Jan 2026,Market Sale,,,,,,,NSE,14 Jan 2026
533098,NHPC Ltd,Abhishek Kumar,Immediate Relative,Equity Shares,3815,0.00,Equity Shares,3815,301194.00,Disposal,Equity,0,0.00,26 Dec 2025,26 Dec 2025,14 Jan 2026,Market Sale,,,,,,,NSE,14 Jan 2026
533098,NHPC Ltd,Abhishek Kumar,Immediate Relative,Equity Shares,0,0.00,Equity Shares,3900,299910.00,Acquisition,Equity,3900,0.00,29 Dec 2025,29 Dec 2025,14 Jan 2026,Market Purchase,,,,,,,NSE,14 Jan 2026
533098,NHPC Ltd,Abhishek Kumar,Immediate Relative,Equity Shares,3900,0.00,Equity Shares,1900,147915.00,Disposal,Equity,2000,0.00,30 Dec 2025,30 Dec 2025,14 Jan 2026,Market Sale,,,,,,,NSE,14 Jan 2026
533098,NHPC Ltd,Abhishek Kumar,Immediate Relative,Equity Shares,2000,0.00,Equity Shares,2000,157300.00,Disposal,Equity,0,0.00,30 Dec 2025,30 Dec 2025,14 Jan 2026,Market Sale,,,,,,,NSE,14 Jan 2026
543453,Alkosign Ltd,SAMIR NARENDRA SHAH,Promoter & Director,Equity Shares,1275748,11.82,Equity Shares,1125,84375.00,Acquisition,Equity,1276873,11.83,12 Jan 2026,12 Jan 2026,14 Jan 2026,Market Purchase,,,,,,,BSE,14 Jan 2026
523387,HOMRE Ltd,Rajendra Seclease Limited,Promoter,Equity Shares,89694513,44.87,Equity Shares,7500000,5000000.00,Disposal,Equity,82194513,41.12,13 Jan 2026,13 Jan 2026,14 Jan 2026,Off Market,,,,,,,BSE,14 Jan 2026
544227,Unicommerce Esolutions Ltd,Kapil Makhija,Director,Equity Shares,1292800,0.93,Equity Shares,258560,30122240.00,Pledge,Equity,1292800,0.93,08 Jan 2026,08 Jan 2026,12 Jan 2026,Creation Of Pledge,,,,,,,BSE,14 Jan 2026
544105,Harshdeep Hortico Ltd,Shankar Keshava Vailaya,Director,Equity Shares,105000,0.65,Equity Shares,3000,289410.00,Acquisition,Equity,108000,0.67,13 Jan 2026,13 Jan 2026,14 Jan 2026,Market Purchase,,,,,,,BSE,14 Jan 2026
526869,Kumbhat Financial Services Ltd,SARIKA KUMBHAT,Connected Person,Equity Shares,65326,1.23,Equity Shares,17000,170000.00,Acquisition,Equity,82326,1.55,10 Dec 2025,10 Dec 2025,06 Jan 2026,Market Purchase,,,,,,,BSE,14 Jan 2026
526869,Kumbhat Financial Services Ltd,SANJAY KUMBHAT,Connected Person,Equity Shares,663790,12.46,Equity Shares,14700,147000.00,Acquisition,Equity,678490,12.73,09 Dec 2025,09 Dec 2025,06 Jan 2026,Inheritance,,,,,,,BSE,14 Jan 2026
521226,Uniroyal Industries Ltd,Rashmi Mahajan,Promoter & Director,Equity Shares,410969,4.97,Equity Shares,713475,7134750.00,Acquisition,Equity,1124444,13.60,12 Jan 2026,12 Jan 2026,12 Jan 2026,Gift,,,,,,,BSE,14 Jan 2026
500800,Tata Consumer Products Ltd,DEEPIKA BHAN,Designated Person,Equity Shares,0,0.00,Equity Shares,3690,4350510.00,Acquisition,Equity,3690,0.00,13 Jan 2026,13 Jan 2026,13 Jan 2026,ESOP,,,,,,,NA,14 Jan 2026
500800,Tata Consumer Products Ltd,VIKAS GUPTA,Designated Person,Equity Shares,0,0.00,Equity Shares,1510,1775307.00,Acquisition,Equity,1510,0.00,13 Jan 2026,13 Jan 2026,14 Jan 2026,ESOP,,,,,,,NA,14 Jan 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,867553,1.84,Equity Shares,3557,5098248.00,Disposal,Equity,863996,1.83,09 Jan 2026,09 Jan 2026,13 Jan 2026,Off Market,,,,,,,NA,14 Jan 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,863996,1.83,Equity Shares,2981,4272667.00,Disposal,Equity,861015,1.83,09 Jan 2026,09 Jan 2026,13 Jan 2026,Off Market,,,,,,,NA,14 Jan 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,861015,1.83,Equity Shares,426,117299.00,Disposal,Equity,860589,1.83,09 Jan 2026,09 Jan 2026,13 Jan 2026,Off Market,,,,,,,NA,14 Jan 2026
544542,Justo Realfintech Ltd,Puspamitra Das,Promoter & Director,Equity Shares,7184216,38.22,Equity Shares,2000,179000.00,Acquisition,Equity,7186216,38.23,12 Jan 2026,12 Jan 2026,13 Jan 2026,Market Purchase,,,,,,,BSE,14 Jan 2026
544542,Justo Realfintech Ltd,Puspamitra Das,Promoter & Director,Equity Shares,7186216,38.23,Equity Shares,1000,87200.00,Acquisition,Equity,7187216,38.23,13 Jan 2026,13 Jan 2026,13 Jan 2026,Market Purchase,,,,,,,BSE,14 Jan 2026
543519,Shashwat Furnishing Solutions Ltd,HITESH KARNAWAT,Promoter & Director,Equity Shares,1246350,59.69,Equity Shares,7500,694809.00,Disposal,Equity,1238850,59.33,13 Jan 2026,13 Jan 2026,13 Jan 2026,Market Sale,,,,,,,BSE,13 Jan 2026
543519,Shashwat Furnishing Solutions Ltd,LALIT KUMAR KARNAWAT,Promoter & Director,Equity Shares,63250,3.03,Equity Shares,13500,1296599.00,Disposal,Equity,49750,2.38,12 Jan 2026,12 Jan 2026,12 Jan 2026,Market Sale,,,,,,,BSE,13 Jan 2026
543519,Shashwat Furnishing Solutions Ltd,HITESH KARNAWAT,Promoter & Director,Equity Shares,1270350,60.84,Equity Shares,24000,2289910.00,Disposal,Equity,1246350,59.69,12 Jan 2026,12 Jan 2026,12 Jan 2026,Market Sale,,,,,,,BSE,13 Jan 2026
533155,Jubilant FoodWorks Ltd,Jubilant Consumer Private Limited,Promoter,Equity Shares,265752415,40.27,Equity Shares,600000,314160000.00,Pledge,Equity,265752415,40.27,12 Jan 2026,12 Jan 2026,13 Jan 2026,Creation Of Pledge,,,,,,,NA,13 Jan 2026
532141,Andhra Cements Ltd,SAGAR CEMENTS LIMITED,Promoter,Equity Shares,82954926,90.00,Equity Shares,7148978,518029339.00,Disposal,Equity,75805948,82.24,09 Jan 2026,12 Jan 2026,13 Jan 2026,Market Sale,,,,,,,BSE,13 Jan 2026
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Equity Shares,8003514,0.30,Equity Shares,2972,4913608.00,Disposal,Equity,8000542,0.30,08 Jan 2026,08 Jan 2026,12 Jan 2026,ESOS,,,,,,,NA,13 Jan 2026
500413,Thomas Cook (India) Ltd,IDBI Trusteeship Services Limited,Connected Person,Equity Shares,4618262,0.98,Equity Shares,2000,331840.00,Disposal,Equity,4616262,0.98,12 Jan 2026,12 Jan 2026,13 Jan 2026,ESOP,,,,,,,NA,13 Jan 2026
543519,Shashwat Furnishing Solutions Ltd,HITESH KARNAWAT,Promoter & Director,Equity Shares,1271850,60.91,Equity Shares,1500,150597.00,Disposal,Equity,1270350,60.84,09 Jan 2026,09 Jan 2026,12 Jan 2026,Market Sale,,,,,,,BSE,13 Jan 2026
532777,Info Edge (India) Ltd,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,919050,0.14,Equity Shares,966,1932.00,Disposal,Equity,918084,0.14,12 Jan 2026,12 Jan 2026,12 Jan 2026,ESOP,,,,,,,NA,13 Jan 2026
537291,Nath Bio-Genes (India) Ltd,Tapovan Paper and Board Mills Limited,Promoter Group,Equity Shares,0,0.00,Equity Shares,75645,756450.00,Acquisition,Equity,75645,0.40,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
537291,Nath Bio-Genes (India) Ltd,Prabha Farms Private Limited,Promoter Group,Equity Shares,75271,0.40,Equity Shares,75271,752710.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
537291,Nath Bio-Genes (India) Ltd,Paresh Farms Private Limited,Promoter Group,Equity Shares,374,0.00,Equity Shares,374,3740.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
537292,Agri- Tech (India) Ltd,Tapovan Paper and Board Mills Limited,Promoter Group,Equity Shares,0,0.00,Equity Shares,130512,1305120.00,Acquisition,Equity,130512,2.20,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
537292,Agri- Tech (India) Ltd,Nath Securities Limited,Promoter Group,Equity Shares,80320,1.35,Equity Shares,80320,803200.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
537292,Agri- Tech (India) Ltd,Prabha Farms Private Limited,Promoter Group,Equity Shares,49852,0.84,Equity Shares,49852,498520.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
537292,Agri- Tech (India) Ltd,Paresh Farms Private Limited,Promoter Group,Equity Shares,340,0.01,Equity Shares,340,3400.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
526576,Techindia Nirman Ltd,Tapovan Paper and Board Mills Limited,Promoter Group,Equity Shares,0,0.00,Equity Shares,378486,3784860.00,Acquisition,Equity,378486,2.64,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
526576,Techindia Nirman Ltd,Nath Securities Limited,Promoter Group,Equity Shares,232929,1.63,Equity Shares,232929,2329290.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
526576,Techindia Nirman Ltd,Prabha Farms Private Limited,Promoter Group,Equity Shares,144571,1.01,Equity Shares,144571,1445710.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
526576,Techindia Nirman Ltd,Paresh Farms Private Limited,Promoter Group,Equity Shares,986,0.01,Equity Shares,986,9860.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
538970,Wardwizard Innovations & Mobility Ltd,Yatin Sanjay Gupte,Promoter,Equity Shares,29211314,9.72,Equity Shares,2000000,11980000.00,Invoke,Equity,27211314,9.05,09 Jan 2026,09 Jan 2026,13 Jan 2026,Invocation Of Pledged,,,,,,,BSE,13 Jan 2026
501479,Springform Technology Ltd,Paramjeet Singh Chhabra,Promoter & Director,Equity Shares,14019,28.04,Equity Shares,2964000,10.00,Acquisition,Equity,2978019,29.48,27 Dec 2025,27 Dec 2025,13 Jan 2026,Allotment,,,,,,,BSE,13 Jan 2026
501479,Springform Technology Ltd,Amarjeet Kaur,Promoter & Director,Equity Shares,14019,28.04,Equity Shares,2964000,10.00,Acquisition,Equity,2978019,29.48,27 Dec 2025,27 Dec 2025,13 Jan 2026,Allotment,,,,,,,BSE,13 Jan 2026
501479,Springform Technology Ltd,Amandeep Singh,Promoter & Director,Equity Shares,7010,14.02,Equity Shares,1583000,10.00,Acquisition,Equity,1590010,15.74,27 Dec 2025,27 Dec 2025,13 Jan 2026,Allotment,,,,,,,BSE,13 Jan 2026
540481,Classic Leasing & Finance Ltd,Manju Bothra,Promoter,Equity Shares,79000,2.63,Equity Shares,2650000,30475000.00,Acquisition,Equity,2729000,22.28,09 Jan 2026,09 Jan 2026,13 Jan 2026,Preferential Offer,,,,,,,NA,13 Jan 2026
540481,Classic Leasing & Finance Ltd,Urvee Bothra Dugar,Promoter,Equity Shares,10000,0.33,Equity Shares,850000,9775000.00,Acquisition,Equity,860000,7.02,09 Jan 2026,09 Jan 2026,13 Jan 2026,Preferential Offer,,,,,,,NA,13 Jan 2026
540481,Classic Leasing & Finance Ltd,Rajmahal Credit Capital Pvt Ltd,Promoter Group,Equity Shares,39000,1.30,Equity Shares,200000,2300000.00,Acquisition,Equity,239000,1.95,09 Jan 2026,09 Jan 2026,13 Jan 2026,Preferential Offer,,,,,,,NA,13 Jan 2026
502587,Nath Industries Ltd,Tapovan Paper and Board Mills Limited,Promoter Group,Equity Shares,1000000,5.26,Equity Shares,134585,1345850.00,Acquisition,Equity,1134585,5.97,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
502587,Nath Industries Ltd,Jeevan Farms Private Limited,Promoter Group,Equity Shares,82132,0.43,Equity Shares,82132,821320.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
502587,Nath Industries Ltd,Prabha Farms Private Limited,Promoter Group,Equity Shares,32089,0.17,Equity Shares,32089,320890.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
502587,Nath Industries Ltd,Paresh Farms Private Limited,Promoter Group,Equity Shares,20364,0.11,Equity Shares,20364,203640.00,Disposal,Equity,0,0.00,09 Jan 2026,09 Jan 2026,09 Jan 2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jan 2026
542117,Netripples Software Ltd,NA,Connected Person,Equity Shares,0,0.00,Equity Shares,0,0.00,Disposal,Equity,0,0.00,01 Jul 2025,30 Sep 2025,30 Sep 2025,Others,,,,,,,BSE,13 Jan 2026
543667,Inox Green Energy Services Ltd,Seethappa Karunakaran  Mathusudhana,Designated Person,Equity Shares,0,0.00,Equity Shares,102500,8917500.00,Acquisition,Equity,102500,0.03,14 Nov 2025,14 Nov 2025,18 Nov 2025,ESOS,,,,,,,NA,12 Jan 2026
544105,Harshdeep Hortico Ltd,Shankar Keshava Vailaya,Director,Equity Shares,81000,0.50,Equity Shares,3000,216000.00,Acquisition,Equity,84000,0.52,19 May 2025,19 May 2025,20 May 2025,Market Purchase,,,,,,,BSE,12 Jan 2026
544105,Harshdeep Hortico Ltd,Shankar Keshava Vailaya,Director,Equity Shares,84000,0.52,Equity Shares,4500,323610.00,Acquisition,Equity,88500,0.55,20 May 2025,20 May 2025,20 May 2025,Market Purchase,,,,,,,BSE,12 Jan 2026
504067,Zensar Technologies Ltd,Vijayasimha Alilughatta,Designated Person,Equity Shares,9351,0.00,Equity Shares,21381,15167681.00,Acquisition,Equity,30732,0.01,09 Jan 2026,09 Jan 2026,11 Jan 2026,ESOP,,,,,,,NA,12 Jan 2026
514010,Rudra Ecovation Ltd,Shiva Spinfab Private Limited,Promoter Group,Equity Shares,1250000,1.09,Equity Shares,560000,20160000.00,Acquisition,Equity,1810000,1.56,08 Jan 2026,08 Jan 2026,12 Jan 2026,Preferential Offer,,,,,,,BSE,12 Jan 2026
514010,Rudra Ecovation Ltd,Shiva Spinfab Private Limited,Promoter Group,Equity Shares,1810000,1.56,Equity Shares,2220000,79920000.00,Acquisition,Equity,4030000,3.41,09 Jan 2026,09 Jan 2026,12 Jan 2026,Preferential Offer,,,,,,,BSE,12 Jan 2026
532875,Allied Digital Services Ltd,Derek B Jones,Employee,Equity Shares,0,0.00,Equity Shares,5200,104000.00,Acquisition,Equity,5200,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Ravindra Deshpande,Employee,Equity Shares,2007,0.00,Equity Shares,2000,40000.00,Acquisition,Equity,4007,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Jeannette Lara,Employee,Equity Shares,0,0.00,Equity Shares,2500,50000.00,Acquisition,Equity,2500,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Wendy Gomez,Employee,Equity Shares,0,0.00,Equity Shares,3750,75000.00,Acquisition,Equity,3750,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Kanchan Nair,Employee,Equity Shares,0,0.00,Equity Shares,5000,100000.00,Acquisition,Equity,5000,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Ashish Sharma,Employee,Equity Shares,100,0.00,Equity Shares,2000,40000.00,Acquisition,Equity,2100,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Vishal Chopra,Employee,Equity Shares,3200,0.00,Equity Shares,1875,37500.00,Acquisition,Equity,5075,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Jayesh Sonar,Employee,Equity Shares,0,0.00,Equity Shares,5000,100000.00,Acquisition,Equity,5000,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Dayanidhi Padhy,Employee,Equity Shares,500,0.00,Equity Shares,1000,20000.00,Acquisition,Equity,1500,0.00,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Amit Vora,Designated Person,Equity Shares,371,0.00,Equity Shares,22000,1716000.00,Acquisition,Equity,22371,0.03,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Gopal Tiwari,KMP,Equity Shares,9951,0.01,Equity Shares,25000,1950000.00,Acquisition,Equity,34951,0.06,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Paresh Shah,KMP,Equity Shares,38500,0.06,Equity Shares,6000,468000.00,Acquisition,Equity,44500,0.07,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
532875,Allied Digital Services Ltd,Mohinder Chandna,Designated Person,Equity Shares,53000,0.09,Equity Shares,5000,390000.00,Acquisition,Equity,58000,0.10,07 Nov 2025,07 Nov 2025,07 Nov 2025,ESOP,,,,,,,NA,12 Jan 2026
500407,Swaraj Engines Ltd,Devjit Sarkar,Director,Equity Shares,0,0.00,Equity Shares,361,1338010.00,Acquisition,Equity,361,0.00,07 Jan 2026,07 Jan 2026,09 Jan 2026,ESOP,,,,,,,NA,12 Jan 2026
514336,CCME Global Ltd,VENKATRAMAN  VARALAKSHMI,Promoter,Equity Shares,7269500,55.92,Equity Shares,736500,5155500.00,Acquisition,Equity,8006000,61.58,07 Jan 2026,08 Jan 2026,09 Jan 2026,Off Market,,,,,,,BSE,10 Jan 2026
514336,CCME Global Ltd,PADMANABAN  KRISHNAMOOR  THY,Promoter,Equity Shares,900200,6.92,Equity Shares,736500,5155500.00,Acquisition,Equity,1636700,12.59,07 Jan 2026,07 Jan 2026,09 Jan 2026,Off Market,,,,,,,BSE,10 Jan 2026
512445,Devinsu Trading Ltd,Deniis Desai,Promoter,Equity Shares,91493,18.30,Equity Shares,80000,28000000.00,Acquisition,Equity,171493,29.17,08 Jan 2026,08 Jan 2026,09 Jan 2026,Preferential Offer,,,,,,,NA,10 Jan 2026
543782,Sealmatic India Ltd,Umar Abdulkarim Balwa,Promoter,Equity Shares,491068,4.52,Equity Shares,900,315000.00,Acquisition,Equity,491968,0.01,08 Jan 2026,08 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,10 Jan 2026
544542,Justo Realfintech Ltd,Puspamitra Das,Promoter & Director,Equity Shares,7182216,38.21,Equity Shares,2000,192900.00,Acquisition,Equity,7184216,38.22,09 Jan 2026,09 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,10 Jan 2026
500325,Reliance Industries Ltd,Poornima Dileep Choksi,Immediate Relative,Equity Shares,1464,0.00,Equity Shares,1064,1678407.00,Revoke,Equity,1464,0.00,05 Jan 2026,05 Jan 2026,07 Jan 2026,Revocation Of Pledge,,,,,,,NA,09 Jan 2026
543519,Shashwat Furnishing Solutions Ltd,HITESH KARNAWAT,Promoter & Director,Equity Shares,1295850,62.06,Equity Shares,24000,2535170.00,Disposal,Equity,1271850,60.91,08 Jan 2026,08 Jan 2026,08 Jan 2026,Market Sale,,,,,,,BSE,09 Jan 2026
521113,Suditi Industries Ltd,PAWAN AGARWAL Revised ,Promoter & Director,Equity Shares,15213398,38.40,Equity Shares,1000000,77440000.00,Disposal,Equity,14213398,35.88,31 Dec 2025,31 Dec 2025,02 Jan 2026,Market Sale,,,,,,,BSE,09 Jan 2026
521113,Suditi Industries Ltd,PAWAN AGARWAL,Promoter & Director,Equity Shares,16313398,41.18,Equity Shares,1100000,62700000.00,Disposal,Equity,15213398,38.40,19 Nov 2025,19 Nov 2025,09 Jan 2026,Market Sale,,,,,,,BSE,09 Jan 2026
532221,Sonata Software Ltd,Sonata Software Limited  Employee Welfare Trust,Trust,Equity Shares,3140052,1.12,Equity Shares,99843,35994139.00,Acquisition,Equity,3239895,1.16,06 Jan 2026,07 Jan 2026,08 Jan 2026,Market Purchase,,,,,,,NSE,09 Jan 2026
540550,Yug Decor Ltd,Mayadevi Laxminarayan Darji,Employees Immediate Relative,Equity Shares,0,0.00,Equity Shares,6900,138483.00,Acquisition,Equity,6900,0.06,08 Jan 2026,09 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,09 Jan 2026
544309,Inventurus Knowledge Solutions Ltd,Souvik Shyam,Designated Person,Equity Shares,20000,0.01,Equity Shares,10000,16495615.00,Disposal,Equity,10000,0.01,31 Dec 2025,31 Dec 2025,09 Jan 2026,Market Sale,,,,,,,NSE,09 Jan 2026
544309,Inventurus Knowledge Solutions Ltd,Souvik Shyam,Designated Person,Equity Shares,25200,0.01,Equity Shares,5200,8710124.00,Disposal,Equity,20000,0.01,30 Dec 2025,30 Dec 2025,08 Jan 2026,Market Sale,,,,,,,NSE,09 Jan 2026
543453,Alkosign Ltd,SAMIR NARENDRA SHAH,Promoter & Director,Equity Shares,1264498,11.72,Equity Shares,9000,676688.00,Acquisition,Equity,1273498,11.80,08 Jan 2026,08 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,09 Jan 2026
543453,Alkosign Ltd,SAMIR NARENDRA SHAH,Promoter & Director,Equity Shares,1273498,11.80,Equity Shares,2250,171000.00,Acquisition,Equity,1275748,11.82,09 Jan 2026,09 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,09 Jan 2026
544663,Neptune Logitek Ltd,Devidas Amritlal Shah,Promoter Group,Equity Shares,21000,0.15,Equity Shares,23000,1217600.00,Acquisition,Equity,44000,0.32,08 Jan 2026,08 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,09 Jan 2026
540768,Mahindra Logistics Ltd,Rajesh Shetty,Designated Person,Equity Shares,28647,0.03,Equity Shares,6243,62430.00,Acquisition,Equity,34890,0.04,07 Jan 2026,07 Jan 2026,08 Jan 2026,ESOP,,,,,,,NA,09 Jan 2026
540768,Mahindra Logistics Ltd,Sreenivas Pamidimukkala,Designated Person,Equity Shares,10234,0.01,Equity Shares,4917,49170.00,Acquisition,Equity,15151,0.02,07 Jan 2026,07 Jan 2026,08 Jan 2026,ESOP,,,,,,,NA,09 Jan 2026
540768,Mahindra Logistics Ltd,Prasanna Pahade,Designated Person,Equity Shares,11237,0.01,Equity Shares,5656,56560.00,Acquisition,Equity,16893,0.02,07 Jan 2026,07 Jan 2026,08 Jan 2026,ESOP,,,,,,,NA,09 Jan 2026
540768,Mahindra Logistics Ltd,Saurav Chakraborty,Designated Person,Equity Shares,11703,0.01,Equity Shares,6104,61040.00,Acquisition,Equity,17807,0.02,07 Jan 2026,07 Jan 2026,08 Jan 2026,ESOP,,,,,,,NA,09 Jan 2026
544310,Yash Highvoltage Ltd,YASH SWISSTECH PRIVATE LIMITED,Promoter Group,Equity Shares,6500,0.02,Equity Shares,2750,1092763.00,Acquisition,Equity,9250,0.03,08 Jan 2026,08 Jan 2026,09 Jan 2026,Market Purchase,,,,,,,BSE,09 Jan 2026
543806,ITCONS E-Solutions Ltd,Gaurav Mittal,Promoter & Director,Equity Shares,1961154,32.49,Equity Shares,358000,19063500.00,Acquisition,Equity,2319154,32.20,06 Jan 2026,07 Jan 2026,08 Jan 2026,Conversion of security,,,,,,,NA,09 Jan 2026
543806,ITCONS E-Solutions Ltd,Swati Jain,Promoter,Equity Shares,1097422,18.18,Equity Shares,533400,28403550.00,Acquisition,Equity,1630822,22.64,06 Jan 2026,07 Jan 2026,08 Jan 2026,Conversion of security,,,,,,,NA,09 Jan 2026
543806,ITCONS E-Solutions Ltd,Adit Mittal,Promoter Group,Equity Shares,368800,6.11,Equity Shares,235200,12524400.00,Acquisition,Equity,604000,8.38,07 Jan 2026,07 Jan 2026,08 Jan 2026,Conversion of security,,,,,,,NA,09 Jan 2026
514336,CCME Global Ltd,Mastan Rao Pesala,Promoter,Equity Shares,205700,1.58,Equity Shares,205700,1439900.00,Disposal,Equity,0,0.00,07 Jan 2026,08 Jan 2026,09 Jan 2026,Off Market,,,,,,,NA,09 Jan 2026
514336,CCME Global Ltd,VENKATA SUBBAMMA PESALA,Promoter,Equity Shares,175300,1.35,Equity Shares,175300,1227100.00,Disposal,Equity,0,0.00,07 Jan 2026,07 Jan 2026,09 Jan 2026,Off Market,,,,,,,NA,09 Jan 2026
514336,CCME Global Ltd,SRIKANTH PESALA,Promoter,Equity Shares,508900,3.91,Equity Shares,508900,3562300.00,Disposal,Equity,0,0.00,07 Jan 2026,07 Jan 2026,09 Jan 2026,Off Market,,,,,,,NA,09 Jan 2026
514336,CCME Global Ltd,ARUN KUMAR P,Promoter,Equity Shares,583100,4.49,Equity Shares,583100,4081700.00,Disposal,Equity,0,0.00,07 Jan 2026,07 Jan 2026,09 Jan 2026,Off Market,,,,,,,NA,09 Jan 2026
