Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
536565,Novelix Pharmaceuticals Ltd,VUPPARAPALLI CHANDRASEKHAR,Promoter,Equity,2130733,8.92,Equity,775000,15500000.00,Acquisition,-,2905733,10.21,09 Jul 2026,09 Jul 2026,11 Jul 2026,Allotment,,,,,,,NA,13 Jul 2026
536565,Novelix Pharmaceuticals Ltd,Neha Gattu,Promoter Group,Equity,0,0.00,Equity,100000,2000000.00,Acquisition,-,100000,0.35,09 Jul 2026,09 Jul 2026,11 Jul 2026,Allotment,,,,,,,NA,13 Jul 2026
532933,Porwal Auto Components Ltd,MUKESH JAIN HUF,Promoter Group,Warrant,59000,0.39,Warrant,131578,1874987.00,Acquisition,-,190578,1.10,09 Jul 2026,09 Jul 2026,13 Jul 2026,Allotment,,,,,,,BSE,13 Jul 2026
532933,Porwal Auto Components Ltd,SHAILESH JAIN HUF,Promoter Group,Warrant,20500,0.14,Warrant,87719,1249996.00,Acquisition,-,108219,0.63,09 Jul 2026,09 Jul 2026,13 Jul 2026,Allotment,,,,,,,BSE,13 Jul 2026
532933,Porwal Auto Components Ltd,DEVENDRA JAIN HUF,Promoter Group,Warrant,69000,0.73,Warrant,87719,1249996.00,Acquisition,-,156719,0.76,09 Jul 2026,09 Jul 2026,13 Jul 2026,Allotment,,,,,,,BSE,13 Jul 2026
524654,Natural Capsules Ltd,M V Narayanan Kutty,Designated Person,Equity,41827,0.40,Equity,25000,250000.00,Acquisition,-,66827,0.62,16 Jun 2026,24 Jun 2026,25 Jun 2026,ESOP,,,,,,,NSE,13 Jul 2026
538868,Continental Securities Ltd,VACHI COMMERCIAL LLP,Promoter Group,Equity,2650000,8.70,Equity,500000,10500000.00,Acquisition,-,3150000,9.92,08 Jul 2026,08 Jul 2026,10 Jul 2026,Allotment,,,,,,,BSE,10 Jul 2026
506285,Bayer CropScience Ltd,Bayer CropScience AG,Promoter,Equity,5354030,11.91,Equity,5354030,22070917869.00,Disposal,-,0,0.00,08 Jul 2026,08 Jul 2026,10 Jul 2026,Inter-se-Transfer,,,,,,,NSE,10 Jul 2026
506285,Bayer CropScience Ltd,Bayer AG,Promoter,Equity,3788433,8.43,Equity,5354030,22070917869.00,Acquisition,-,9142463,20.34,08 Jul 2026,08 Jul 2026,09 Jul 2026,Inter-se-Transfer,,,,,,,NSE,10 Jul 2026
543920,CFF Fluid Control Ltd,Hitesh Birla,KMP,Equity,62600,0.29,Equity,1000,860300.00,Acquisition,-,63600,0.30,08 Jul 2026,08 Jul 2026,10 Jul 2026,Market Purchase,,,,,,,BSE,10 Jul 2026
532286,Jindal Steel Ltd,JSL Overseas Limited,Promoter Group,Equity,6529360,0.64,Equity,750000,776550000.00,Revoke,-,6529360,0.64,07 Jul 2026,07 Jul 2026,09 Jul 2026,,,,,,,,NA,10 Jul 2026
532286,Jindal Steel Ltd,Jindal Steel Employee Benefit Trust,Trust,Equity,2245038,0.22,Equity,129302,137451905.00,Disposal,-,2115736,0.21,06 Jul 2026,06 Jul 2026,08 Jul 2026,Market Sale,,,,,,,NSE,10 Jul 2026
526071,Stellant Securities (India) Ltd,MANGLA SUBHASH RATHOD,Promoter and Director,Equity,1042855,18.84,Equity,150000,51000000.00,Acquisition,-,1192855,20.98,08 Jul 2026,08 Jul 2026,09 Jul 2026,Conversion of security,,,,,,,NA,10 Jul 2026
543621,Cargosol Logistics Ltd,Roshan Kishanchand Rohira,Promoter,Equity,3749700,36.76,Equity,4000,107080.00,Acquisition,-,3753700,36.79,10 Jul 2026,10 Jul 2026,10 Jul 2026,Market Purchase,,,,,,,BSE,10 Jul 2026
540718,Aayush Art And Bullion Ltd,EKLINGJI BROKING LLP,Other,Equity,32875,0.21,Equity,6250,7274583.00,Acquisition,-,39125,0.26,08 Jul 2026,08 Jul 2026,10 Jul 2026,Market Purchase,,,,,,,BSE,10 Jul 2026
543986,South West Pinnacle Exploration Ltd,Mr. Vikas Jain,Promoter and Director,Equity,11137698,37.33,Equity,1134644,149999937.00,Acquisition,-,12272342,37.58,10 Jul 2026,10 Jul 2026,10 Jul 2026,Conversion of security,,,,,,,NA,10 Jul 2026
543986,South West Pinnacle Exploration Ltd,Mr. Vikas Jain,Promoter and Director,Warrant,1134644,40.22,Warrant,1134644,149999937.00,Disposal,-,0,0.00,10 Jul 2026,10 Jul 2026,10 Jul 2026,Conversion of security,,,,,,,NA,10 Jul 2026
543986,South West Pinnacle Exploration Ltd,Mr. Piyush Jain,Promoter and Director,Equity,6323614,21.19,Equity,1134644,149999937.00,Acquisition,-,7458258,22.84,10 Jul 2026,10 Jul 2026,10 Jul 2026,Conversion of security,,,,,,,NA,10 Jul 2026
543986,South West Pinnacle Exploration Ltd,Mr. Piyush Jain,Promoter and Director,Warrant,1134644,40.22,Warrant,1134644,149999937.00,Disposal,-,0,0.00,10 Jul 2026,10 Jul 2026,10 Jul 2026,Conversion of security,,,,,,,NA,10 Jul 2026
